INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (1,'Luqman Arifin Siswanto',1,CURRENT_TIMESTAMP,42,21,14,89,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (2,'Marco',2,CURRENT_TIMESTAMP,35,30,41,70,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (3,'Johan Adi Agusalim',3,CURRENT_TIMESTAMP,2,41,30,75,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (4,'Sudirman Putra Tan',4,CURRENT_TIMESTAMP,19,15,29,78,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (5,'Tanto Fang',5,CURRENT_TIMESTAMP,29,32,12,88,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (6,'Gunadi Tengfei',6,CURRENT_TIMESTAMP,13,28,33,76,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (7,'Maaiz Mainaky',7,CURRENT_TIMESTAMP,35,42,7,75,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (8,'Apollos Maha',8,CURRENT_TIMESTAMP,25,30,30,82,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (9,'Tobias Lumbanbatu',9,CURRENT_TIMESTAMP,23,15,21,74,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (10,'Ethan Ndruru',10,CURRENT_TIMESTAMP,40,27,8,73,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (11,'Purwodarminto',11,CURRENT_TIMESTAMP,23,33,19,79,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (12,'Budiono',12,CURRENT_TIMESTAMP,1,21,6,74,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (13,'Melati Sucianty Yuwono',13,CURRENT_TIMESTAMP,3,32,6,78,NULL);
INSERT INTO `calonpegawai`(`id_calon_pegawai`, `nama`, `id_penduduk`, `created_at`, `pilihan_1`, `pilihan_2`, `pilihan_3`, `nilai_tes_bkn`, `id_kebutuhan_pegawai`) VALUES (14,'Nirmala Lestari Tedjo',14,CURRENT_TIMESTAMP,26,35,43,77,NULL);
